"repo","owner","name","stage","last_action_utc","next_action_utc","budget_offer_usd","contact_channel","notes"
"mem0ai/mem0","mem0ai","mem0","contacted","2026-05-12T01:18:40Z","2026-05-13T01:18:40Z","5","github","Outbound issue created 2026-05-12"
"run-llama/llama_index","run-llama","llama_index","contacted","2026-05-12T01:18:40Z","2026-05-13T01:18:40Z","5","github","Outbound issue created 2026-05-12"
"microsoft/semantic-kernel","microsoft","semantic-kernel","contacted","2026-05-12T01:18:40Z","2026-05-13T01:18:40Z","5","github","Outbound issue created 2026-05-12"
"langchain-ai/langchain","langchain-ai","langchain","lost","2026-05-12T01:20:03Z","","5","github","Auto-closed: repo disallows programmatic issue submissions"
"open-webui/open-webui","open-webui","open-webui","replied","2026-05-12T01:19:56Z","2026-05-12T13:19:56Z","5","github","Bot feedback received; title fixed with required prefix"
"lobehub/lobe-chat","lobehub","lobe-chat","contacted","2026-05-12T01:18:41Z","2026-05-13T01:18:41Z","5","github","Outbound issue created 2026-05-12"
"langgenius/dify","langgenius","dify","contacted","2026-05-12T01:18:42Z","2026-05-13T01:18:42Z","5","github","Outbound issue created 2026-05-12"
"crewAIInc/crewAI","crewAIInc","crewAI","contacted","2026-05-12T01:18:42Z","2026-05-13T01:18:42Z","5","github","Outbound issue created 2026-05-12"
"All-Hands-AI/OpenHands","All-Hands-AI","OpenHands","contacted","2026-05-12T01:18:42Z","2026-05-13T01:18:42Z","5","github","Outbound issue created 2026-05-12"
"microsoft/autogen","microsoft","autogen","contacted","2026-05-12T01:18:43Z","2026-05-13T01:18:43Z","5","github","Outbound issue created 2026-05-12"
"ContinueDev/continue","ContinueDev","continue","contacted","2026-05-12T01:18:43Z","2026-05-13T01:18:43Z","5","github","Outbound issue created 2026-05-12"
"browser-use/browser-use","browser-use","browser-use","contacted","2026-05-12T01:18:43Z","2026-05-13T01:18:43Z","5","github","Outbound issue created 2026-05-12"
"BerriAI/litellm","BerriAI","litellm","contacted","2026-05-12T01:18:43Z","2026-05-13T01:18:43Z","5","github","Outbound issue created 2026-05-12"
"comfyanonymous/ComfyUI","comfyanonymous","ComfyUI","contacted","2026-05-12T01:18:44Z","2026-05-13T01:18:44Z","5","github","Outbound issue created 2026-05-12"
"getzep/graphiti","getzep","graphiti","contacted","2026-05-12T01:18:44Z","2026-05-13T01:18:44Z","5","github","Outbound issue created 2026-05-12"
"microsoft/markitdown","microsoft","markitdown","contacted","2026-05-12T01:18:44Z","2026-05-13T01:18:44Z","5","github","Outbound issue created 2026-05-12"
"langchain-ai/langgraph","langchain-ai","langgraph","contacted","2026-05-12T01:20:52Z","2026-05-13T01:20:52Z","5","github","Outbound issue created: #7774"
